update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
412,improve,0.0183,0.072,0.002,0.0543
413,buy,0.0032,0.1306,0.0364,0.0684
414,improve,-0.0595,0.0311,0.0007,-0.044
415,improve,-0.0135,0.0724,0.0015,0.0228
416,buy,-0.0368,0.3102,0.0381,0.1183
417,improve,-0.01,0.0605,0.0016,0.0203
418,improve,-0.0814,0.0084,0.0009,-0.0772
419,buy,0.0268,0.2385,0.0371,0.146
420,improve,0.0066,0.0765,0.0015,0.0449
421,improve,0.1217,0.0094,0.002,0.1264
422,buy,0.0023,0.2124,0.0384,0.1084
423,improve,0.0153,0.0809,0.0022,0.0558
424,buy,-0.0,0.1606,0.0382,0.0803
425,improve,0.0004,0.239,0.0008,0.1199
426,improve,-0.0479,0.1532,0.0018,0.0288
427,buy,0.0064,0.1877,0.039,0.1002
428,improve,-0.0288,0.1036,0.0013,0.023
429,improve,0.0413,0.0076,0.0015,0.0451
430,buy,-0.0552,0.1372,0.0376,0.0134
431,improve,-0.008,0.0986,0.0018,0.0413
432,buy,0.0114,0.2125,0.0457,0.1176
433,improve,-0.004,0.0057,0.0009,-0.0012
434,improve,-0.0022,0.0085,0.0013,0.0021
435,buy,0.0203,0.1797,0.0475,0.1101
436,improve,-0.0,0.0778,0.0014,0.0389
437,improve,-0.0077,0.0092,0.0021,-0.0031
438,buy,0.0169,0.1909,0.047,0.1123
439,improve,-0.0242,0.1503,0.0018,0.051
440,improve,-0.0226,0.0309,0.0018,-0.0072
441,buy,0.0163,0.2352,0.0487,0.1338
442,improve,0.0024,0.0337,0.0023,0.0192
443,buy,0.0007,0.1881,0.0447,0.0947
444,improve,-0.0021,0.02,0.0011,0.0078
445,buy,0.0075,0.2563,0.0465,0.1355
446,improve,0.0259,0.2733,0.0023,0.1625
447,improve,-0.0032,0.0254,0.0013,0.0095
448,buy,-0.0437,0.1028,0.0431,0.0076
449,improve,0.0004,0.0349,0.0015,0.0179
450,improve,-0.003,0.0173,0.0015,0.0057
451,buy,0.0025,0.1174,0.0437,0.0611
452,improve,-0.0012,0.0834,0.0011,0.0405
453,buy,-0.3313,0.4413,0.038,-0.1107
454,improve,0.0002,0.0483,0.0007,0.0243
455,improve,-0.0479,0.008,0.001,-0.0439
456,improve,-0.0097,0.1482,0.0012,0.0644
457,improve,-0.043,0.0099,0.0019,-0.0381
458,buy,-0.1204,0.363,0.0395,0.0611
459,improve,0.0013,0.0653,0.001,0.0339
460,buy,0.0533,0.2553,0.0352,0.1809
461,improve,-0.002,0.0549,0.0011,0.0254
462,improve,0.0203,0.0171,0.0015,0.0288
463,buy,-0.0002,0.1942,0.0333,0.0968
464,improve,0.0029,0.1338,0.002,0.0698
465,improve,-0.0104,0.0241,0.0018,0.0016
466,improve,-0.0054,0.2245,0.0014,0.1069
467,improve,0.0,0.0098,0.0009,0.0049
468,buy,0.0045,0.1872,0.034,0.098
469,improve,-0.0005,0.0307,0.0009,0.0148
470,improve,-0.0291,0.1429,0.0006,0.0423
471,improve,-0.0156,0.0108,0.0013,-0.0102
472,improve,-0.0924,0.0587,0.001,-0.063
473,buy,-0.1184,0.1717,0.0279,-0.0326
474,improve,0.0035,0.0681,0.0013,0.0376
475,buy,0.0862,0.1475,0.0326,0.1599
476,improve,-0.0005,0.0253,0.0009,0.0121
477,improve,0.0224,0.0074,0.0006,0.0261
478,buy,0.0175,0.2242,0.029,0.1296
479,improve,0.0401,0.0434,0.0008,0.0618
480,improve,-0.021,0.0112,0.0006,-0.0155
481,buy,-0.0071,0.1598,0.0309,0.0728
482,improve,-0.0171,0.101,0.0005,0.0334
483,buy,-0.0102,0.2767,0.03,0.1281
484,improve,0.0656,0.1582,0.0011,0.1447
485,improve,0.0801,0.0051,0.0008,0.0827
486,buy,-0.0008,0.1727,0.0317,0.0856
487,improve,-0.0069,0.0409,0.0003,0.0136
488,improve,-0.008,0.0198,0.0007,0.0019
489,buy,0.0427,0.1384,0.0284,0.1118
490,improve,-0.0004,0.3962,0.0007,0.1977
491,improve,0.0066,0.0186,0.0011,0.0159
492,improve,0.0305,0.0131,0.0006,0.037
493,buy,-0.0619,0.164,0.0273,0.02
494,improve,-0.0249,0.1196,0.0009,0.0348
495,improve,0.0354,0.0155,0.0009,0.0431
496,improve,0.0299,0.0473,0.0008,0.0535
497,buy,0.0089,0.11,0.0268,0.0639
498,improve,0.0049,0.07,0.0005,0.04
499,improve,0.069,0.0104,0.0007,0.0742
500,buy,-0.0979,0.1012,0.0296,-0.0473
501,improve,0.0033,0.059,0.001,0.0328
502,buy,0.0329,0.2524,0.0271,0.159
503,improve,-0.0055,0.1814,0.0008,0.0853
504,improve,-0.0092,0.0445,0.0004,0.013
505,buy,0.0315,0.1103,0.0271,0.0866
506,improve,0.0236,0.0666,0.0005,0.0569
507,improve,0.0088,0.0355,0.0005,0.0266
508,buy,0.087,0.1453,0.0265,0.1596
509,improve,0.0001,0.0645,0.0007,0.0323
510,buy,-0.0033,0.2967,0.0287,0.145
511,improve,0.0076,0.0072,0.0007,0.0112
512,improve,-0.0116,0.0244,0.0008,0.0006
513,buy,0.0714,0.1718,0.0289,0.1572
514,improve,-0.0001,0.1169,0.0006,0.0583
515,improve,0.0055,0.0549,0.0004,0.033
516,improve,-0.0118,0.0155,0.0006,-0.004
517,improve,-0.0683,0.009,0.0004,-0.0638
518,buy,-0.0204,0.2137,0.0263,0.0865
519,improve,-0.0183,0.0613,0.0009,0.0124
520,buy,-0.0776,0.1433,0.0278,-0.006
521,improve,-0.0095,0.0463,0.0004,0.0136
522,buy,-0.137,0.1513,0.0279,-0.0613
523,improve,-0.0002,0.0535,0.0005,0.0265
524,improve,-0.048,0.0701,0.0004,-0.0129
525,improve,-0.0357,0.0049,0.0004,-0.0333
526,buy,-0.0034,0.1745,0.0286,0.0839
527,improve,0.0357,0.0792,0.0006,0.0753
528,buy,0.0534,0.1587,0.0263,0.1328
529,improve,-0.0002,0.0141,0.0003,0.0069
530,buy,0.0162,0.1884,0.0292,0.1104
531,improve,-0.0296,0.0384,0.0011,-0.0104
532,improve,0.0129,0.014,0.0011,0.0199
533,buy,0.208,0.1666,0.0239,0.2913
534,improve,-0.0002,0.0208,0.0007,0.0102
535,improve,0.0156,0.0169,0.0006,0.0241
536,improve,0.0109,0.0071,0.0007,0.0144
537,buy,0.0234,0.2964,0.0218,0.1716
538,improve,-0.0073,0.033,0.0008,0.0092
539,improve,0.0111,0.1513,0.0005,0.0867
540,improve,0.0005,0.0128,0.0003,0.0069
541,buy,0.0004,0.3007,0.0181,0.1508
542,improve,-0.0008,0.0738,0.0009,0.0361
543,buy,0.0034,0.2424,0.0188,0.1246
544,improve,-0.0208,0.0576,0.0007,0.008
545,improve,-0.0043,0.0169,0.0006,0.0042
546,improve,0.0106,0.0308,0.0005,0.026
547,improve,0.0139,0.0364,0.0006,0.0321
548,buy,-0.0077,0.2098,0.0176,0.0972
